date,news_tone,news_volume
2017-01-01 00:00:00+00:00,-1.0576,0.0911
2017-01-02 00:00:00+00:00,-0.814,0.1061
2017-01-03 00:00:00+00:00,-0.5351,0.0937
2017-01-04 00:00:00+00:00,-0.9436,0.0721
2017-01-05 00:00:00+00:00,-0.9333,0.0896
2017-01-06 00:00:00+00:00,-1.1801,0.0769
2017-01-07 00:00:00+00:00,-1.2262,0.0576
2017-01-08 00:00:00+00:00,-0.6659,0.0415
2017-01-09 00:00:00+00:00,-1.9383,0.0656
2017-01-10 00:00:00+00:00,-1.9989,0.0521
2017-01-11 00:00:00+00:00,-1.5447,0.078
2017-01-12 00:00:00+00:00,-1.6098,0.091
2017-01-13 00:00:00+00:00,-1.2171,0.047
2017-01-14 00:00:00+00:00,-1.517,0.0305
2017-01-15 00:00:00+00:00,-1.2121,0.0338
2017-01-16 00:00:00+00:00,-1.0687,0.0303
2017-01-17 00:00:00+00:00,-0.9661,0.0472
2017-01-18 00:00:00+00:00,-1.1271,0.0384
2017-01-19 00:00:00+00:00,-1.1707,0.0465
2017-01-20 00:00:00+00:00,-1.0259,0.0307
2017-01-21 00:00:00+00:00,-0.4072,0.0166
2017-01-22 00:00:00+00:00,-0.536,0.0225
2017-01-23 00:00:00+00:00,-1.2812,0.0353
2017-01-24 00:00:00+00:00,-3.136,0.0686
2017-01-25 00:00:00+00:00,-1.2295,0.0334
2017-01-26 00:00:00+00:00,-0.6509,0.0361
2017-01-27 00:00:00+00:00,-0.6641,0.0397
2017-01-28 00:00:00+00:00,-1.0236,0.0235
2017-01-29 00:00:00+00:00,-0.8292,0.0278
2017-01-30 00:00:00+00:00,-1.6936,0.0419
2017-01-31 00:00:00+00:00,-1.9294,0.0413
2017-02-01 00:00:00+00:00,-0.9953,0.0283
2017-02-02 00:00:00+00:00,-1.5108,0.0386
2017-02-03 00:00:00+00:00,-0.5698,0.0312
2017-02-04 00:00:00+00:00,-2.0482,0.027
2017-02-05 00:00:00+00:00,-1.1926,0.027
2017-02-06 00:00:00+00:00,-1.6991,0.0396
2017-02-07 00:00:00+00:00,-1.4122,0.0483
2017-02-08 00:00:00+00:00,-1.7569,0.051
2017-02-09 00:00:00+00:00,-2.0584,0.0632
2017-02-10 00:00:00+00:00,-1.4233,0.0522
2017-02-11 00:00:00+00:00,-1.5006,0.0377
2017-02-12 00:00:00+00:00,-1.0555,0.0289
2017-02-13 00:00:00+00:00,-1.3339,0.0385
2017-02-14 00:00:00+00:00,-1.6005,0.0289
2017-02-15 00:00:00+00:00,-0.5211,0.0291
2017-02-16 00:00:00+00:00,-1.3901,0.0288
2017-02-17 00:00:00+00:00,-0.6552,0.0206
2017-02-18 00:00:00+00:00,-0.3722,0.0183
2017-02-19 00:00:00+00:00,-0.6251,0.0193
2017-02-20 00:00:00+00:00,-1.2369,0.027
2017-02-21 00:00:00+00:00,-0.624,0.0302
2017-02-22 00:00:00+00:00,-0.4361,0.036
2017-02-23 00:00:00+00:00,-1.1283,0.0397
2017-02-24 00:00:00+00:00,-0.2949,0.1031
2017-02-25 00:00:00+00:00,-0.8283,0.0686
2017-02-26 00:00:00+00:00,-0.8621,0.0475
2017-02-27 00:00:00+00:00,-0.2085,0.0411
2017-02-28 00:00:00+00:00,-1.2779,0.0433
2017-03-01 00:00:00+00:00,-0.6593,0.0342
2017-03-02 00:00:00+00:00,0.0715,0.0402
2017-03-03 00:00:00+00:00,0.2435,0.1037
2017-03-04 00:00:00+00:00,0.0638,0.0683
2017-03-05 00:00:00+00:00,-0.0262,0.0493
2017-03-06 00:00:00+00:00,-0.5938,0.0572
2017-03-07 00:00:00+00:00,-0.3868,0.0401
2017-03-08 00:00:00+00:00,-0.5948,0.0346
2017-03-09 00:00:00+00:00,-0.1724,0.0354
2017-03-10 00:00:00+00:00,-0.9003,0.0658
2017-03-11 00:00:00+00:00,-1.2927,0.0933
2017-03-12 00:00:00+00:00,-1.027,0.0412
2017-03-13 00:00:00+00:00,-1.317,0.0535
2017-03-14 00:00:00+00:00,-0.2649,0.0397
2017-03-15 00:00:00+00:00,-2.4066,0.0416
2017-03-16 00:00:00+00:00,-1.9135,0.0418
2017-03-17 00:00:00+00:00,-1.4278,0.0357
2017-03-18 00:00:00+00:00,-0.4404,0.0313
2017-03-19 00:00:00+00:00,-1.1266,0.032
2017-03-20 00:00:00+00:00,-0.6723,0.0541
2017-03-21 00:00:00+00:00,-0.8348,0.0412
2017-03-22 00:00:00+00:00,-3.2083,0.0822
2017-03-23 00:00:00+00:00,-2.6524,0.0611
2017-03-24 00:00:00+00:00,-2.0338,0.0418
2017-03-25 00:00:00+00:00,-1.8651,0.0295
