timestamp,open,high,low,close,volume,segment,center
2017-08-22 03:00:00+00:00,3849.98,3849.98,3849.98,3849.98,0.0,0,2017-08-22 15:00:00+00:00
2017-08-22 03:01:00+00:00,3849.98,3849.98,3849.98,3849.98,0.0,0,2017-08-22 15:00:00+00:00
2017-08-22 03:02:00+00:00,3822.5,3822.5,3822.5,3822.5,0.103,0,2017-08-22 15:00:00+00:00
2017-08-22 03:03:00+00:00,3822.5,3822.5,3822.5,3822.5,0.028,0,2017-08-22 15:00:00+00:00
2017-08-22 03:04:00+00:00,3822.5,3822.5,3822.5,3822.5,0.0,0,2017-08-22 15:00:00+00:00
2017-08-22 03:05:00+00:00,3822.55,3822.55,3822.55,3822.55,0.046432,0,2017-08-22 15:00:00+00:00
2017-08-22 03:06:00+00:00,3822.55,3849.98,3822.5,3849.98,2.844044,0,2017-08-22 15:00:00+00:00
2017-08-22 03:07:00+00:00,3849.98,3849.98,3810.0,3810.0,0.04133,0,2017-08-22 15:00:00+00:00
2017-08-22 03:08:00+00:00,3810.0,3810.0,3810.0,3810.0,0.0,0,2017-08-22 15:00:00+00:00
2017-08-22 03:09:00+00:00,3802.53,3849.97,3802.53,3849.97,0.143754,0,2017-08-22 15:00:00+00:00
2017-08-22 03:10:00+00:00,3845.0,3845.0,3845.0,3845.0,0.006831,0,2017-08-22 15:00:00+00:00
2017-08-22 03:11:00+00:00,3820.0,3820.0,3820.0,3820.0,0.2,0,2017-08-22 15:00:00+00:00
2017-08-22 03:12:00+00:00,3820.0,3820.0,3820.0,3820.0,0.0,0,2017-08-22 15:00:00+00:00
2017-08-22 03:13:00+00:00,3820.0,3820.0,3820.0,3820.0,0.0,0,2017-08-22 15:00:00+00:00
2017-08-22 03:14:00+00:00,3810.0,3810.0,3810.0,3810.0,0.146204,0,2017-08-22 15:00:00+00:00
2017-08-22 03:15:00+00:00,3840.0,3840.0,3840.0,3840.0,1.2177,0,2017-08-22 15:00:00+00:00
2017-08-22 03:16:00+00:00,3840.0,3840.0,3840.0,3840.0,1.667072,0,2017-08-22 15:00:00+00:00
2017-08-22 03:17:00+00:00,3840.0,3840.0,3840.0,3840.0,0.046936,0,2017-08-22 15:00:00+00:00
2017-08-22 03:18:00+00:00,3849.97,3849.97,3849.97,3849.97,0.011579,0,2017-08-22 15:00:00+00:00
2017-08-22 03:19:00+00:00,3849.97,3849.97,3849.97,3849.97,1.3453,0,2017-08-22 15:00:00+00:00
2017-08-22 03:20:00+00:00,3849.97,3849.97,3849.97,3849.97,0.553424,0,2017-08-22 15:00:00+00:00
2017-08-22 03:21:00+00:00,3849.97,3849.97,3849.97,3849.97,0.607082,0,2017-08-22 15:00:00+00:00
